

| Item                                      | Quantity | Price     | Link |
| ----------------------------------------- | -------- | --------- | ---- |
| Raspberry Pi Zero 2 W                     | 1        | $32.65    | [Link](https://ali.onl/2yvu) |
| 5MP RPi Zero Camera + 15 cm FFC           | 1        | $9.71     | [Link](https://alishort.com/8dFxK) |
| 1.54inch LCD Module 240x240 (ST7789)      | 1        | $11.72      | [Link](https://s.click.aliexpress.com/e/_Dmf...) |
| TP4056 Charging Module (with protection)  | 1        | $5.61| [Link](https://ali.onl/2yvm) |
| Rechargeable Battery (3.7V LiPo / 18650)  | 1        | $6.39     | [Link]( https://s.click.aliexpress.com/e/_DdI...) |
| Mini Breadboard                           | 1        | $0.49      | [Link](https://s.click.aliexpress.com/e/_Dmn...) |
| Jumper Wires (Male-Female pack)         | 1        | $4.69      | [Link](https://ali.onl/2yvn) |
| MicroSD Card (16GB)         | 1        | $4.09      | [Link](https://ali.onl/2yvo) |
| 40 pin GPIO Header                        | 1        | $2.73        | [Link](https://ali.onl/2yvp) |
| 3.7V to 5V Boost Converter      | 1        | $1.09      | [Link](https://ali.onl/2yvq) |
| Power Switch                              | 5        | $1     | [Link](https://ali.onl/2yvr) |
